username,video_id,created_time,desc,play_count,like_count,comment_count,share_count,duration
mommygardevoir69,7304142508416699691,2023-11-22 12:43:38,#hanime #hmanga #hmangareccomendation #saucegod #fyp #doujins #doujinshi #codes #sauceking #fakebody sauce 479724,81700,4697,30,58,0
mommygardevoir69,7303758889533656362,2023-11-21 11:54:51,#hanime #hmanga #hmangareccomendation #saucegod #fyp #doujins #doujinshi #codes #sauceking #fakebody sauce 408257,54800,2865,5,18,0
mommygardevoir69,7303396379613760811,2023-11-20 12:28:21,#hanime #hmanga #hmangareccomendation #saucegod #fyp #doujins #doujinshi #codes #sauceking #fakebody sauce 366385,103700,5191,19,50,0
mommygardevoir69,7302899511326756139,2023-11-19 04:20:08,#hanime #hmanga #hmangareccomendation #saucegod #fyp #doujins #doujinshi #codes #sauceking #fakebody sauce 481611,62700,3217,22,12,0
mommygardevoir69,7302710761556544814,2023-11-18 16:08:06,#hanime #hmanga #hmangareccomendation #saucegod #fyp #doujins #doujinshi #codes #sauceking #fakebody sauce 481962,67700,4214,21,34,0
mommygardevoir69,7302520983179644202,2023-11-18 03:51:30,#hanime #hmanga #hmangareccomendation #saucegod #fyp #doujins #doujinshi #codes #sauceking #fakebody sauce 481732,62200,3836,29,18,0
mommygardevoir69,7302253285765893422,2023-11-17 10:32:20,#hanime #hmanga #hmangareccomendation #saucegod #fyp #doujins #doujinshi #codes #sauceking #fakebody sauce 481666,223200,19400,59,123,0
mommygardevoir69,7301966173573270827,2023-11-16 15:58:20,#hanime #hmanga #hmangareccomendation #saucegod #fyp #doujins #doujinshi #codes #sauceking #fakebody sauce 481667,67400,3207,13,25,0
mommygardevoir69,7301766344268074282,2023-11-16 03:03:00,#hanime #hmanga #hmangareccomendation #saucegod #fyp #doujins #doujinshi #codes #sauceking #fakebody sauce 480668,103500,7378,19,38,0
mommygardevoir69,7301404343180201258,2023-11-15 03:39:02,#hanime #hmanga #hmangareccomendation #saucegod #fyp #doujins #doujinshi #codes #sauceking #fakebody sauce 403608,57300,2985,5,19,0
mommygardevoir69,7301164267686874414,2023-11-14 12:06:24,#hanime #hmanga #hmangareccomendation #saucegod #fyp #doujins #doujinshi #codes #sauceking #fakebody  sauce 477732,95000,7524,20,42,0
mommygardevoir69,7301024051634441514,2023-11-14 03:02:34,#hanime #hmanga #hmangareccomendation #saucegod #fyp #doujins #doujinshi #codes #sauceking #fakebody sauce 481294,61000,3500,15,20,0
mommygardevoir69,7300800268361387306,2023-11-13 12:34:09,#hanime #hmanga #hmangareccomendation #saucegod #fyp #doujins #doujinshi #codes #sauceking #fakebody sauce 170417,80200,5389,16,39,0
mommygardevoir69,7300367704215653675,2023-11-12 08:35:31,#hanime #hmanga #hmangareccomendation #saucegod #fyp #doujins #doujinshi #codes #sauceking #fakebody sauce 145847,79300,5043,24,30,0
mommygardevoir69,7299923571281775915,2023-11-11 03:51:50,#hanime #hmanga #hmangareccomendation #saucegod #fyp #doujins #doujinshi #codes #sauceking #fakebody sauce 224745,173300,13600,55,159,0
mommygardevoir69,7299662325190118698,2023-11-10 10:58:11,#hanime #hmanga #hmangareccomendation #saucegod #fyp #doujins #doujinshi #codes #sauceking #fakebody sauce 146727,105700,9602,29,73,0
mommygardevoir69,7299535730118872363,2023-11-10 02:47:08,#hanime #hmanga #hmangareccomendation #saucegod #fyp #doujins #doujinshi #codes #sauceking #fakebody sauce 143342,55200,2373,4,17,0
mommygardevoir69,7299286410652077354,2023-11-09 10:39:22,#hanime #hmanga #hmangareccomendation #saucegod #fyp #doujins #doujinshi #codes #sauceking #fakebody sauce 320235,70600,4294,10,24,0
